Unnamed: 0,model,displ,cyl,trans,drive,fuel,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
1699,MITSUBISHI Eclipse Spyder,3.8,6,Man-6,2WD,Gasoline,small car,6,16.0,25.0,19.0,5,no
1700,MITSUBISHI Eclipse Spyder,3.8,6,Man-6,2WD,Gasoline,small car,6,16.0,25.0,19.0,5,no
1703,MITSUBISHI Endeavor,3.8,6,Auto-S4,2WD,Gasoline,SUV,6,15.0,22.0,18.0,5,no
1704,MITSUBISHI Endeavor,3.8,6,Auto-S4,4WD,Gasoline,SUV,6,15.0,19.0,17.0,4,no
1705,MITSUBISHI Galant,2.4,4,Auto-S4,2WD,Gasoline,midsize car,9.5,20.0,27.0,23.0,7,yes
1709,MITSUBISHI Galant,3.8,6,Auto-S5,2WD,Gasoline,midsize car,6,17.0,25.0,20.0,6,no
1710,MITSUBISHI Galant,3.8,6,Auto-S5,2WD,Gasoline,midsize car,6,17.0,25.0,20.0,6,no
1711,MITSUBISHI Lancer,2.0,4,Man-5,2WD,Gasoline,small car,9.5,21.0,29.0,24.0,7,yes
1712,MITSUBISHI Lancer,2.0,4,Auto-AV,2WD,Gasoline,small car,9.5,22.0,29.0,24.0,7,yes
1715,MITSUBISHI Outlander,3.0,6,Auto-S6,2WD,Gasoline,SUV,9.5,17.0,25.0,20.0,6,yes
1716,MITSUBISHI Outlander,3.0,6,Auto-S6,4WD,Gasoline,SUV,9.5,17.0,24.0,20.0,6,yes
1719,MITSUBISHI Outlander,2.4,4,Auto-AV,2WD,Gasoline,SUV,6,20.0,25.0,22.0,6,no
1720,MITSUBISHI Outlander,2.4,4,Auto-AV,4WD,Gasoline,SUV,6,20.0,25.0,22.0,6,no
1723,MITSUBISHI Raider,3.7,6,Auto-L4,2WD,Gasoline,pickup,7,15.0,20.0,17.0,4,no
1724,MITSUBISHI Raider,3.7,6,Auto-L4,4WD,Gasoline,pickup,7,14.0,18.0,15.0,3,no
1725,MITSUBISHI Raider,4.7,8,Auto-L5,2WD,Gasoline,pickup,7,14.0,19.0,15.0,3,no
1726,MITSUBISHI Raider,4.7,8,Auto-L5,4WD,Gasoline,pickup,7,14.0,19.0,15.0,3,no
1730,MITSUBISHI Raider,3.7,6,Auto-L4,2WD,Gasoline,pickup,6,15.0,20.0,17.0,4,no
1731,MITSUBISHI Raider,3.7,6,Man-6,2WD,Gasoline,pickup,6,16.0,20.0,18.0,5,no
1732,MITSUBISHI Raider,3.7,6,Auto-L4,4WD,Gasoline,pickup,6,14.0,18.0,15.0,3,no
1735,NISSAN 350Z,3.5,6,Auto-S5,2WD,Gasoline,small car,7,17.0,24.0,20.0,6,yes
1736,NISSAN 350Z,3.5,6,Man-6,2WD,Gasoline,small car,7,18.0,25.0,20.0,6,yes
1739,NISSAN 350Z Roadster,3.5,6,Auto-S5,2WD,Gasoline,small car,7,17.0,23.0,19.0,5,no
1740,NISSAN 350Z Roadster,3.5,6,Man-6,2WD,Gasoline,small car,7,17.0,24.0,20.0,6,yes
1743,NISSAN Altima,2.5,4,Auto-AV,2WD,Gasoline,midsize car,9.5,23.0,31.0,26.0,8,yes
1744,NISSAN Altima,2.5,4,Man-6,2WD,Gasoline,midsize car,9.5,23.0,32.0,26.0,8,yes
1745,NISSAN Altima,2.5,4,Auto-AV,2WD,Gasoline,small car,9.5,23.0,31.0,26.0,8,yes
1746,NISSAN Altima,2.5,4,Man-6,2WD,Gasoline,small car,9.5,23.0,32.0,26.0,8,yes
1747,NISSAN Altima,3.5,6,Auto-AV,2WD,Gasoline,midsize car,7,19.0,26.0,22.0,6,yes
1748,NISSAN Altima,3.5,6,Man-6,2WD,Gasoline,midsize car,7,19.0,27.0,22.0,6,yes
1749,NISSAN Altima,3.5,6,Auto-AV,2WD,Gasoline,small car,7,19.0,26.0,22.0,6,yes
1750,NISSAN Altima,3.5,6,Man-6,2WD,Gasoline,small car,7,19.0,27.0,22.0,6,yes
1755,NISSAN Altima,2.5,4,Auto-AV,2WD,Gasoline,midsize car,6,23.0,31.0,26.0,8,yes
1756,NISSAN Altima,2.5,4,Man-6,2WD,Gasoline,midsize car,6,23.0,32.0,26.0,8,yes
1757,NISSAN Altima,2.5,4,Auto-AV,2WD,Gasoline,small car,6,23.0,31.0,26.0,8,yes
1758,NISSAN Altima,2.5,4,Man-6,2WD,Gasoline,small car,6,23.0,32.0,26.0,8,yes
1763,NISSAN Altima Hybrid,2.5,4,Auto-AV,2WD,Gasoline,midsize car,9.5,35.0,33.0,34.0,9,yes
1768,NISSAN Armada,5.6,8,Auto-L5,2WD,Gasoline,SUV,6,12.0,18.0,14.0,2,no
1769,NISSAN Armada,5.6,8,Auto-L5,4WD,Gasoline,SUV,6,12.0,17.0,14.0,2,no
1770,NISSAN Frontier,2.5,4,Auto-L5,2WD,Gasoline,pickup,7,17.0,22.0,19.0,5,no
1771,NISSAN Frontier,2.5,4,Man-5,2WD,Gasoline,pickup,7,19.0,23.0,21.0,6,yes
1772,NISSAN Frontier,4.0,6,Auto-L5,2WD,Gasoline,pickup,7,15.0,20.0,17.0,4,no
1773,NISSAN Frontier,4.0,6,Man-6,2WD,Gasoline,pickup,7,16.0,20.0,17.0,4,no
1774,NISSAN Frontier,4.0,6,Auto-L5,4WD,Gasoline,pickup,7,14.0,19.0,16.0,4,no
1775,NISSAN Frontier,4.0,6,Man-6,4WD,Gasoline,pickup,7,15.0,19.0,17.0,4,no
1782,NISSAN Maxima,3.5,6,Auto-AV,2WD,Gasoline,midsize car,7,19.0,25.0,21.0,6,yes
1784,NISSAN Pathfinder,4.0,6,Auto-L5,2WD,Gasoline,SUV,7,15.0,22.0,17.0,4,no
1785,NISSAN Pathfinder,4.0,6,Auto-L5,4WD,Gasoline,SUV,7,14.0,20.0,16.0,4,no
1790,NISSAN Pathfinder,5.6,8,Auto-S5,2WD,Gasoline,SUV,6,13.0,18.0,15.0,3,no
1791,NISSAN Pathfinder,5.6,8,Auto-S5,4WD,Gasoline,SUV,6,12.0,18.0,14.0,2,no
1792,NISSAN Quest,3.5,6,Auto-L5,2WD,Gasoline,minivan,7,16.0,24.0,19.0,5,no
1794,NISSAN Rogue,2.5,4,Auto-AV,2WD,Gasoline,SUV,9,22.0,27.0,24.0,7,yes
1795,NISSAN Rogue,2.5,4,Auto-AV,4WD,Gasoline,SUV,9,21.0,26.0,23.0,7,yes
1798,NISSAN Rogue,2.5,4,Auto-AV,2WD,Gasoline,SUV,6,22.0,27.0,24.0,7,yes
1799,NISSAN Rogue,2.5,4,Auto-AV,4WD,Gasoline,SUV,6,21.0,26.0,23.0,7,yes
1800,NISSAN Sentra,2.0,4,Man-6,2WD,Gasoline,midsize car,7,24.0,31.0,27.0,8,yes
1801,NISSAN Sentra,2.0,4,Auto-AV,2WD,Gasoline,midsize car,7,25.0,33.0,28.0,8,yes
1806,NISSAN Sentra,2.5,4,Man-6,2WD,Gasoline,midsize car,6,21.0,29.0,24.0,7,yes
1807,NISSAN Sentra,2.5,4,Auto-AV,2WD,Gasoline,midsize car,6,24.0,30.0,26.0,8,yes
1812,NISSAN Titan,5.6,8,Auto-L5,2WD,Gasoline,pickup,6,12.0,17.0,14.0,2,no
1813,NISSAN Titan,5.6,8,Auto-L5,4WD,Gasoline,pickup,6,12.0,17.0,14.0,2,no
1814,NISSAN Versa,1.8,4,Auto-L4,2WD,Gasoline,midsize car,7,24.0,32.0,27.0,8,yes
1815,NISSAN Versa,1.8,4,Man-6,2WD,Gasoline,midsize car,7,26.0,31.0,28.0,8,yes
1816,NISSAN Versa,1.8,4,Auto-AV,2WD,Gasoline,midsize car,7,27.0,33.0,29.0,8,yes
