,model,displ,cyl,trans,drive,fuel,cert_region,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
114,BENTLEY Continental GTC,6.0,(12 cyl),Auto-S6,4WD,Gasoline,FA,small car,6,10,17,12,0,no
115,BENTLEY Continental GTC,6.0,(12 cyl),Auto-S6,4WD,Gasoline,CA,small car,6,10,17,12,0,no
116,BMW 328ci,3.0,(6 cyl),Man-6,2WD,Gasoline,CA,small car,9.5,20,30,24,7,yes
117,BMW 328ci,3.0,(6 cyl),Auto-S6,2WD,Gasoline,CA,small car,9.5,23,31,25,7,yes
118,BMW 328ci,3.0,(6 cyl),Man-6,2WD,Gasoline,CA,small car,7,20,30,24,7,yes
119,BMW 328ci,3.0,(6 cyl),Auto-S6,2WD,Gasoline,CA,small car,7,23,31,25,7,yes
120,BMW 328ci,3.0,(6 cyl),Man-6,2WD,Gasoline,FA,small car,6,20,30,24,7,yes
121,BMW 328ci,3.0,(6 cyl),Man-6,2WD,Gasoline,FA,small car,6,20,30,24,7,yes
122,BMW 328ci,3.0,(6 cyl),Auto-S6,2WD,Gasoline,FA,small car,6,23,31,25,7,yes
123,BMW 328ci,3.0,(6 cyl),Auto-S6,2WD,Gasoline,FA,small car,6,23,31,25,7,yes
124,BMW 328ci Convertible,3.0,(6 cyl),Man-6,2WD,Gasoline,CA,small car,9.5,19,29,22,6,yes
125,BMW 328ci Convertible,3.0,(6 cyl),Auto-S6,2WD,Gasoline,CA,small car,9.5,20,30,24,7,yes
126,BMW 328ci Convertible,3.0,(6 cyl),Man-6,2WD,Gasoline,CA,small car,7,19,29,22,6,yes
127,BMW 328ci Convertible,3.0,(6 cyl),Auto-S6,2WD,Gasoline,CA,small car,7,20,30,24,7,yes
128,BMW 328ci Convertible,3.0,(6 cyl),Man-6,2WD,Gasoline,FA,small car,6,19,29,22,6,no
129,BMW 328ci Convertible,3.0,(6 cyl),Man-6,2WD,Gasoline,FA,small car,6,19,29,22,6,no
130,BMW 328ci Convertible,3.0,(6 cyl),Auto-S6,2WD,Gasoline,FA,small car,6,20,30,24,7,yes
131,BMW 328ci Convertible,3.0,(6 cyl),Auto-S6,2WD,Gasoline,FA,small car,6,20,30,24,7,yes
132,BMW 328cxi,3.0,(6 cyl),Auto-S6,4WD,Gasoline,CA,small car,9.5,20,27,23,7,yes
133,BMW 328cxi,3.0,(6 cyl),Man-6,4WD,Gasoline,CA,small car,7,19,28,22,6,yes
134,BMW 328cxi,3.0,(6 cyl),Auto-S6,4WD,Gasoline,CA,small car,7,20,27,23,7,yes
135,BMW 328cxi,3.0,(6 cyl),Man-6,4WD,Gasoline,FA,small car,6,19,28,22,6,no
136,BMW 328cxi,3.0,(6 cyl),Auto-S6,4WD,Gasoline,FA,small car,6,20,27,23,7,yes
137,BMW 328cxi,3.0,(6 cyl),Auto-S6,4WD,Gasoline,FA,small car,6,20,27,23,7,yes
138,BMW 328i,3.0,(6 cyl),Man-6,2WD,Gasoline,CA,small car,9.5,20,30,24,7,yes
139,BMW 328i,3.0,(6 cyl),Auto-S6,2WD,Gasoline,CA,small car,9.5,23,31,25,7,yes
140,BMW 328i,3.0,(6 cyl),Man-6,2WD,Gasoline,CA,small car,7,20,30,24,7,yes
141,BMW 328i,3.0,(6 cyl),Auto-S6,2WD,Gasoline,CA,small car,7,23,31,25,7,yes
142,BMW 328i,3.0,(6 cyl),Man-6,2WD,Gasoline,FA,small car,6,20,30,24,7,yes
143,BMW 328i,3.0,(6 cyl),Man-6,2WD,Gasoline,FA,small car,6,20,30,24,7,yes
144,BMW 328i,3.0,(6 cyl),Auto-S6,2WD,Gasoline,FA,small car,6,23,31,25,7,yes
145,BMW 328i,3.0,(6 cyl),Auto-S6,2WD,Gasoline,FA,small car,6,23,31,25,7,yes
146,BMW 328i Sport Wagon,3.0,(6 cyl),Man-6,2WD,Gasoline,CA,station wagon,7,19,29,22,6,yes
147,BMW 328i Sport Wagon,3.0,(6 cyl),Man-6,2WD,Gasoline,FA,station wagon,6,19,29,22,6,no
148,BMW 328xi,3.0,(6 cyl),Auto-S6,4WD,Gasoline,CA,small car,9.5,20,27,23,7,yes
149,BMW 328xi,3.0,(6 cyl),Man-6,4WD,Gasoline,CA,small car,7,19,28,22,6,yes
150,BMW 328xi,3.0,(6 cyl),Auto-S6,4WD,Gasoline,CA,small car,7,20,27,23,7,yes
151,BMW 328xi,3.0,(6 cyl),Man-6,4WD,Gasoline,FA,small car,6,19,28,22,6,no
152,BMW 328xi,3.0,(6 cyl),Auto-S6,4WD,Gasoline,FA,small car,6,20,27,23,7,yes
153,BMW 328xi,3.0,(6 cyl),Auto-S6,4WD,Gasoline,FA,small car,6,20,27,23,7,yes
154,BMW 328xi Sport Wagon,3.0,(6 cyl),Man-6,4WD,Gasoline,CA,station wagon,7,19,28,22,6,yes
155,BMW 328xi Sport Wagon,3.0,(6 cyl),Auto-S6,4WD,Gasoline,CA,station wagon,7,20,27,23,7,yes
156,BMW 328xi Sport Wagon,3.0,(6 cyl),Man-6,4WD,Gasoline,FA,station wagon,6,19,28,22,6,no
157,BMW 328xi Sport Wagon,3.0,(6 cyl),Auto-S6,4WD,Gasoline,FA,station wagon,6,20,27,23,7,yes
158,BMW 335ci,3.0,(6 cyl),Man-6,2WD,Gasoline,FA,small car,6,19,28,22,6,no
159,BMW 335ci,3.0,(6 cyl),Auto-S6,2WD,Gasoline,FA,small car,6,20,28,23,7,yes
160,BMW 335ci,3.0,(6 cyl),Man-6,2WD,Gasoline,CA,small car,6,19,28,22,6,no
161,BMW 335ci,3.0,(6 cyl),Auto-S6,2WD,Gasoline,CA,small car,6,20,28,23,7,yes
162,BMW 335ci Convertible,3.0,(6 cyl),Man-6,2WD,Gasoline,FA,small car,6,19,28,22,6,no
163,BMW 335ci Convertible,3.0,(6 cyl),Auto-S6,2WD,Gasoline,FA,small car,6,20,28,23,7,yes
164,BMW 335ci Convertible,3.0,(6 cyl),Man-6,2WD,Gasoline,CA,small car,6,19,28,22,6,no
165,BMW 335ci Convertible,3.0,(6 cyl),Auto-S6,2WD,Gasoline,CA,small car,6,20,28,23,7,yes
166,BMW 335cxi,3.0,(6 cyl),Man-6,4WD,Gasoline,FA,small car,6,18,27,21,6,no
167,BMW 335cxi,3.0,(6 cyl),Auto-S6,4WD,Gasoline,FA,small car,6,19,27,22,6,no
168,BMW 335cxi,3.0,(6 cyl),Man-6,4WD,Gasoline,CA,small car,6,18,27,21,6,no
169,BMW 335cxi,3.0,(6 cyl),Auto-S6,4WD,Gasoline,CA,small car,6,19,27,22,6,no
170,BMW 335i,3.0,(6 cyl),Man-6,2WD,Gasoline,FA,small car,6,19,28,22,6,no
171,BMW 335i,3.0,(6 cyl),Auto-S6,2WD,Gasoline,FA,small car,6,20,28,23,7,yes
172,BMW 335i,3.0,(6 cyl),Man-6,2WD,Gasoline,CA,small car,6,19,28,22,6,no
173,BMW 335i,3.0,(6 cyl),Auto-S6,2WD,Gasoline,CA,small car,6,20,28,23,7,yes
174,BMW 335xi,3.0,(6 cyl),Man-6,4WD,Gasoline,FA,small car,6,18,27,21,6,no
175,BMW 335xi,3.0,(6 cyl),Auto-S6,4WD,Gasoline,FA,small car,6,19,27,22,6,no
176,BMW 335xi,3.0,(6 cyl),Man-6,4WD,Gasoline,CA,small car,6,18,27,21,6,no
177,BMW 335xi,3.0,(6 cyl),Auto-S6,4WD,Gasoline,CA,small car,6,19,27,22,6,no
178,BMW 528i,3.0,(6 cyl),Auto-S6,2WD,Gasoline,CA,midsize car,7,20,30,24,7,yes
179,BMW 528i,3.0,(6 cyl),Man-6,2WD,Gasoline,CA,midsize car,7,20,30,24,7,yes
180,BMW 528i,3.0,(6 cyl),Auto-S6,2WD,Gasoline,FA,midsize car,6,20,30,24,7,yes
181,BMW 528i,3.0,(6 cyl),Man-6,2WD,Gasoline,FA,midsize car,6,20,30,24,7,yes
182,BMW 528xi,3.0,(6 cyl),Man-6,4WD,Gasoline,CA,midsize car,7,19,28,22,6,yes
183,BMW 528xi,3.0,(6 cyl),Auto-S6,4WD,Gasoline,CA,midsize car,7,20,27,23,7,yes
184,BMW 528xi,3.0,(6 cyl),Man-6,4WD,Gasoline,FA,midsize car,6,19,28,22,6,no
185,BMW 528xi,3.0,(6 cyl),Auto-S6,4WD,Gasoline,FA,midsize car,6,20,27,23,7,yes
186,BMW 535i,3.0,(6 cyl),Man-6,2WD,Gasoline,FA,midsize car,6,19,28,22,6,no
187,BMW 535i,3.0,(6 cyl),Auto-S6,2WD,Gasoline,FA,midsize car,6,20,28,23,7,yes
188,BMW 535i,3.0,(6 cyl),Man-6,2WD,Gasoline,CA,midsize car,6,19,28,22,6,no
189,BMW 535i,3.0,(6 cyl),Auto-S6,2WD,Gasoline,CA,midsize car,6,20,28,23,7,yes
190,BMW 535xi,3.0,(6 cyl),Man-6,4WD,Gasoline,FA,midsize car,6,18,27,21,6,no
191,BMW 535xi,3.0,(6 cyl),Auto-S6,4WD,Gasoline,FA,midsize car,6,19,27,22,6,no
192,BMW 535xi,3.0,(6 cyl),Man-6,4WD,Gasoline,CA,midsize car,6,18,27,21,6,no
193,BMW 535xi,3.0,(6 cyl),Auto-S6,4WD,Gasoline,CA,midsize car,6,19,27,22,6,no
194,BMW 535xi Sport Wagon,3.0,(6 cyl),Man-6,4WD,Gasoline,FA,station wagon,6,17,25,20,6,no
195,BMW 535xi Sport Wagon,3.0,(6 cyl),Auto-S6,4WD,Gasoline,FA,station wagon,6,18,26,21,6,no
196,BMW 535xi Sport Wagon,3.0,(6 cyl),Man-6,4WD,Gasoline,CA,station wagon,6,17,25,20,6,no
197,BMW 535xi Sport Wagon,3.0,(6 cyl),Auto-S6,4WD,Gasoline,CA,station wagon,6,18,26,21,6,no
198,BMW 550i,4.8,(8 cyl),Man-6,2WD,Gasoline,CA,midsize car,7,17,24,19,5,no
199,BMW 550i,4.8,(8 cyl),Auto-S6,2WD,Gasoline,CA,midsize car,7,17,25,20,6,yes
200,BMW 550i,4.8,(8 cyl),Man-6,2WD,Gasoline,FA,midsize car,6,17,24,19,5,no
201,BMW 550i,4.8,(8 cyl),Auto-S6,2WD,Gasoline,FA,midsize car,6,17,25,20,6,no
202,BMW 650ci,4.8,(8 cyl),Man-6,2WD,Gasoline,CA,small car,7,17,24,19,5,no
203,BMW 650ci,4.8,(8 cyl),Auto-S6,2WD,Gasoline,CA,small car,7,17,25,20,6,yes
204,BMW 650ci,4.8,(8 cyl),Man-6,2WD,Gasoline,FA,small car,6,17,24,19,5,no
205,BMW 650ci,4.8,(8 cyl),Auto-S6,2WD,Gasoline,FA,small car,6,17,25,20,6,no
206,BMW 650ci Convertible,4.8,(8 cyl),Man-6,2WD,Gasoline,CA,small car,7,16,22,18,5,no
207,BMW 650ci Convertible,4.8,(8 cyl),Auto-S6,2WD,Gasoline,CA,small car,7,17,25,20,6,yes
208,BMW 650ci Convertible,4.8,(8 cyl),Man-6,2WD,Gasoline,FA,small car,6,16,22,18,5,no
209,BMW 650ci Convertible,4.8,(8 cyl),Auto-S6,2WD,Gasoline,FA,small car,6,17,25,20,6,no
210,BMW 750i,4.8,(8 cyl),Auto-S6,2WD,Gasoline,CA,large car,7,17,25,20,6,yes
211,BMW 750i,4.8,(8 cyl),Auto-S6,2WD,Gasoline,FA,large car,6,17,25,20,6,no
212,BMW 750li,4.8,(8 cyl),Auto-S6,2WD,Gasoline,CA,large car,7,17,25,20,6,yes
213,BMW 750li,4.8,(8 cyl),Auto-S6,2WD,Gasoline,FA,large car,6,17,25,20,6,no
214,BMW 760li,6.0,(12 cyl),Auto-S6,2WD,Gasoline,FA,large car,6,14,22,17,4,no
215,BMW 760li,6.0,(12 cyl),Auto-S6,2WD,Gasoline,CA,large car,6,14,22,17,4,no
216,BMW Alpina B7,4.4,(8 cyl),Auto-S6,2WD,Gasoline,FA,large car,6,15,23,18,5,no
217,BMW Alpina B7,4.4,(8 cyl),Auto-S6,2WD,Gasoline,CA,large car,6,15,23,18,5,no
218,BMW M5,5.0,(10 cyl),Man-6,2WD,Gasoline,FA,midsize car,6,12,18,14,2,no
219,BMW M5,5.0,(10 cyl),Auto-S7,2WD,Gasoline,FA,midsize car,6,12,18,14,2,no
220,BMW M5,5.0,(10 cyl),Man-6,2WD,Gasoline,CA,midsize car,6,12,18,14,2,no
221,BMW M5,5.0,(10 cyl),Auto-S7,2WD,Gasoline,CA,midsize car,6,12,18,14,2,no
222,BMW M6,5.0,(10 cyl),Man-6,2WD,Gasoline,FA,small car,6,12,18,14,2,no
223,BMW M6,5.0,(10 cyl),Auto-S7,2WD,Gasoline,FA,small car,6,12,18,14,2,no
224,BMW M6,5.0,(10 cyl),Man-6,2WD,Gasoline,CA,small car,6,12,18,14,2,no
225,BMW M6,5.0,(10 cyl),Auto-S7,2WD,Gasoline,CA,small car,6,12,18,14,2,no
226,BMW M6 Convertible,5.0,(10 cyl),Man-6,2WD,Gasoline,FA,small car,6,12,18,14,2,no
227,BMW M6 Convertible,5.0,(10 cyl),Auto-S7,2WD,Gasoline,FA,small car,6,12,19,14,2,no
228,BMW M6 Convertible,5.0,(10 cyl),Man-6,2WD,Gasoline,CA,small car,6,12,18,14,2,no
229,BMW M6 Convertible,5.0,(10 cyl),Auto-S7,2WD,Gasoline,CA,small car,6,12,19,14,2,no
230,BMW X3,3.0,(6 cyl),Man-6,4WD,Gasoline,CA,SUV,7,18,26,21,6,yes
231,BMW X3,3.0,(6 cyl),Auto-S6,4WD,Gasoline,CA,SUV,7,19,26,22,6,yes
232,BMW X3,3.0,(6 cyl),Man-6,4WD,Gasoline,FA,SUV,6,18,26,21,6,no
233,BMW X3,3.0,(6 cyl),Auto-S6,4WD,Gasoline,FA,SUV,6,19,26,22,6,no
234,BMW X5,3.0,(6 cyl),Auto-S6,4WD,Gasoline,CA,SUV,7,17,23,19,5,no
235,BMW X5,4.8,(8 cyl),Auto-S6,4WD,Gasoline,CA,SUV,7,15,21,17,4,no
236,BMW X5,3.0,(6 cyl),Auto-S6,4WD,Gasoline,FA,SUV,6,17,23,19,5,no
237,BMW X5,4.8,(8 cyl),Auto-S6,4WD,Gasoline,FA,SUV,3,15,21,17,4,no
238,BMW Z4,3.0,(6 cyl),Man-6,2WD,Gasoline,CA,small car,7,20,30,24,7,yes
239,BMW Z4,3.0,(6 cyl),Auto-S6,2WD,Gasoline,CA,small car,7,23,31,25,7,yes
