,model,displ,cyl,trans,drive,fuel,cert_region,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
0,ACURA MDX,3.7,(6 cyl),Auto-S5,4WD,Gasoline,CA,SUV,7,15,20,17,4,no
1,ACURA MDX,3.7,(6 cyl),Auto-S5,4WD,Gasoline,FA,SUV,6,15,20,17,4,no
2,ACURA RDX,2.3,(4 cyl),Auto-S5,4WD,Gasoline,CA,SUV,7,17,22,19,5,no
3,ACURA RDX,2.3,(4 cyl),Auto-S5,4WD,Gasoline,FA,SUV,6,17,22,19,5,no
4,ACURA RL,3.5,(6 cyl),Auto-S5,4WD,Gasoline,CA,midsize car,7,16,24,19,5,no
5,ACURA RL,3.5,(6 cyl),Auto-S5,4WD,Gasoline,FA,midsize car,6,16,24,19,5,no
6,ACURA TL,3.2,(6 cyl),Auto-S5,2WD,Gasoline,CA,midsize car,7,18,26,21,6,yes
7,ACURA TL,3.5,(6 cyl),Auto-S5,2WD,Gasoline,CA,midsize car,7,17,26,20,6,yes
8,ACURA TL,3.5,(6 cyl),Man-6,2WD,Gasoline,CA,midsize car,7,18,27,21,6,yes
9,ACURA TL,3.2,(6 cyl),Auto-S5,2WD,Gasoline,FA,midsize car,6,18,26,21,6,no
10,ACURA TL,3.5,(6 cyl),Auto-S5,2WD,Gasoline,FA,midsize car,6,17,26,20,6,no
11,ACURA TL,3.5,(6 cyl),Man-6,2WD,Gasoline,FA,midsize car,6,18,27,21,6,no
12,ACURA TSX,2.4,(4 cyl),Man-6,2WD,Gasoline,FA,small car,6,19,28,22,6,no
13,ACURA TSX,2.4,(4 cyl),Auto-S5,2WD,Gasoline,FA,small car,6,20,28,23,7,yes
14,ACURA TSX,2.4,(4 cyl),Man-6,2WD,Gasoline,CA,small car,6,19,28,22,6,no
15,ACURA TSX,2.4,(4 cyl),Auto-S5,2WD,Gasoline,CA,small car,6,20,28,23,7,yes
16,ASTON MARTIN DB9,5.9,(12 cyl),Man-6,2WD,Gasoline,FA,small car,6,10,16,12,0,no
17,ASTON MARTIN DB9,5.9,(12 cyl),Auto-S6,2WD,Gasoline,FA,small car,6,11,18,13,1,no
18,ASTON MARTIN DB9,5.9,(12 cyl),Man-6,2WD,Gasoline,CA,small car,6,10,16,12,0,no
19,ASTON MARTIN DB9,5.9,(12 cyl),Auto-S6,2WD,Gasoline,CA,small car,6,11,18,13,1,no
20,ASTON MARTIN DB9 Volante,5.9,(12 cyl),Man-6,2WD,Gasoline,FA,small car,6,10,16,12,0,no
21,ASTON MARTIN DB9 Volante,5.9,(12 cyl),Auto-S6,2WD,Gasoline,FA,small car,6,11,17,13,1,no
22,ASTON MARTIN DB9 Volante,5.9,(12 cyl),Man-6,2WD,Gasoline,CA,small car,6,10,16,12,0,no
23,ASTON MARTIN DB9 Volante,5.9,(12 cyl),Auto-S6,2WD,Gasoline,CA,small car,6,11,17,13,1,no
24,ASTON MARTIN V8 Vantage,4.3,(8 cyl),Man-6,2WD,Gasoline,FA,small car,6,12,19,15,3,no
25,ASTON MARTIN V8 Vantage,4.3,(8 cyl),Auto-S6,2WD,Gasoline,FA,small car,6,13,20,15,3,no
26,ASTON MARTIN V8 Vantage,4.3,(8 cyl),Man-6,2WD,Gasoline,CA,small car,6,12,19,15,3,no
27,ASTON MARTIN V8 Vantage,4.3,(8 cyl),Auto-S6,2WD,Gasoline,CA,small car,6,13,20,15,3,no
28,AUDI A3,2.0,(4 cyl),Man-6,2WD,Gasoline,CA,station wagon,7,21,29,24,7,yes
29,AUDI A3,2.0,(4 cyl),Auto-S6,2WD,Gasoline,CA,station wagon,7,22,29,25,7,yes
30,AUDI A3,2.0,(4 cyl),Man-6,2WD,Gasoline,FA,station wagon,6,21,29,24,7,yes
31,AUDI A3,2.0,(4 cyl),Auto-S6,2WD,Gasoline,FA,station wagon,6,22,29,25,7,yes
32,AUDI A3,3.2,(6 cyl),Auto-S6,4WD,Gasoline,FA,station wagon,6,18,25,21,6,no
33,AUDI A3,3.2,(6 cyl),Auto-S6,4WD,Gasoline,CA,station wagon,6,18,25,21,6,no
34,AUDI A4,2.0,(4 cyl),Auto-AV,2WD,Gasoline,CA,small car,7,21,30,24,7,yes
35,AUDI A4,2.0,(4 cyl),Auto-AV,2WD,Gasoline,FA,small car,6,21,30,24,7,yes
36,AUDI A4,3.1,(6 cyl),Man-6,4WD,Gasoline,FA,small car,6,15,25,19,5,no
37,AUDI A4,3.1,(6 cyl),Auto-S6,4WD,Gasoline,FA,small car,6,17,25,20,6,no
38,AUDI A4,3.1,(6 cyl),Auto-AV,2WD,Gasoline,FA,small car,6,18,27,21,6,no
39,AUDI A4,3.1,(6 cyl),Man-6,4WD,Gasoline,CA,small car,6,15,25,19,5,no
40,AUDI A4,3.1,(6 cyl),Auto-S6,4WD,Gasoline,CA,small car,6,17,25,20,6,no
41,AUDI A4,3.1,(6 cyl),Auto-AV,2WD,Gasoline,CA,small car,6,18,27,21,6,no
42,AUDI A4 Avant,3.1,(6 cyl),Man-6,4WD,Gasoline,FA,station wagon,6,15,25,19,5,no
43,AUDI A4 Avant,3.1,(6 cyl),Auto-S6,4WD,Gasoline,FA,station wagon,6,17,25,20,6,no
44,AUDI A4 Avant,3.1,(6 cyl),Man-6,4WD,Gasoline,CA,station wagon,6,15,25,19,5,no
45,AUDI A4 Avant,3.1,(6 cyl),Auto-S6,4WD,Gasoline,CA,station wagon,6,17,25,20,6,no
46,AUDI A4 Cabriolet,3.1,(6 cyl),Auto-S6,4WD,Gasoline,FA,small car,6,17,25,20,6,no
47,AUDI A4 Cabriolet,3.1,(6 cyl),Auto-S6,4WD,Gasoline,CA,small car,6,17,25,20,6,no
48,AUDI A6,3.1,(6 cyl),Auto-S6,4WD,Gasoline,FA,midsize car,6,17,25,20,6,no
49,AUDI A6,3.1,(6 cyl),Auto-AV,2WD,Gasoline,FA,midsize car,6,18,27,21,6,no
50,AUDI A6,3.1,(6 cyl),Auto-S6,4WD,Gasoline,CA,midsize car,6,17,25,20,6,no
51,AUDI A6,3.1,(6 cyl),Auto-AV,2WD,Gasoline,CA,midsize car,6,18,27,21,6,no
52,AUDI A6,4.2,(8 cyl),Auto-S6,4WD,Gasoline,FA,midsize car,6,16,23,18,5,no
53,AUDI A6,4.2,(8 cyl),Auto-S6,4WD,Gasoline,CA,midsize car,6,16,23,18,5,no
54,AUDI A6 Avant,3.1,(6 cyl),Auto-S6,4WD,Gasoline,FA,station wagon,6,17,25,20,6,no
55,AUDI A6 Avant,3.1,(6 cyl),Auto-S6,4WD,Gasoline,CA,station wagon,6,17,25,20,6,no
56,AUDI A8,4.2,(8 cyl),Auto-S6,4WD,Gasoline,FA,midsize car,6,16,23,18,5,no
57,AUDI A8,4.2,(8 cyl),Auto-S6,4WD,Gasoline,CA,midsize car,6,16,23,18,5,no
58,AUDI A8 L,4.2,(8 cyl),Auto-S6,4WD,Gasoline,FA,large car,6,16,23,18,5,no
59,AUDI A8 L,4.2,(8 cyl),Auto-S6,4WD,Gasoline,CA,large car,6,16,23,18,5,no
60,AUDI A8 L,6.0,(12 cyl),Auto-S6,4WD,Gasoline,FA,large car,6,13,19,15,3,no
61,AUDI A8 L,6.0,(12 cyl),Auto-S6,4WD,Gasoline,CA,large car,6,13,19,15,3,no
62,AUDI Q7,3.6,(6 cyl),Auto-S6,4WD,Gasoline,FA,SUV,6,14,20,16,4,no
63,AUDI Q7,3.6,(6 cyl),Auto-S6,4WD,Gasoline,CA,SUV,6,14,20,16,4,no
64,AUDI Q7,4.2,(8 cyl),Auto-S6,4WD,Gasoline,FA,SUV,6,12,17,14,2,no
65,AUDI Q7,4.2,(8 cyl),Auto-S6,4WD,Gasoline,CA,SUV,6,12,17,14,2,no
66,AUDI R8,4.2,(8 cyl),Auto-S6,4WD,Gasoline,FA,small car,6,13,19,15,3,no
67,AUDI R8,4.2,(8 cyl),Man-6,4WD,Gasoline,FA,small car,6,13,20,15,3,no
68,AUDI R8,4.2,(8 cyl),Auto-S6,4WD,Gasoline,CA,small car,6,13,19,15,3,no
69,AUDI R8,4.2,(8 cyl),Man-6,4WD,Gasoline,CA,small car,6,13,20,15,3,no
70,AUDI RS4,4.2,(8 cyl),Man-6,4WD,Gasoline,FA,small car,6,13,20,15,3,no
71,AUDI RS4,4.2,(8 cyl),Man-6,4WD,Gasoline,CA,small car,6,13,20,15,3,no
72,AUDI RS4 Cabriolet,4.2,(8 cyl),Man-6,4WD,Gasoline,FA,small car,6,12,19,14,2,no
73,AUDI RS4 Cabriolet,4.2,(8 cyl),Man-6,4WD,Gasoline,CA,small car,6,12,19,14,2,no
74,AUDI S4,4.2,(8 cyl),Man-6,4WD,Gasoline,FA,small car,6,13,20,15,3,no
75,AUDI S4,4.2,(8 cyl),Auto-S6,4WD,Gasoline,FA,small car,6,14,21,16,4,no
76,AUDI S4,4.2,(8 cyl),Man-6,4WD,Gasoline,CA,small car,6,13,20,15,3,no
77,AUDI S4,4.2,(8 cyl),Auto-S6,4WD,Gasoline,CA,small car,6,14,21,16,4,no
78,AUDI S4 Avant,4.2,(8 cyl),Man-6,4WD,Gasoline,FA,station wagon,6,13,20,15,3,no
79,AUDI S4 Avant,4.2,(8 cyl),Auto-S6,4WD,Gasoline,FA,station wagon,6,14,21,16,4,no
80,AUDI S4 Avant,4.2,(8 cyl),Man-6,4WD,Gasoline,CA,station wagon,6,13,20,15,3,no
81,AUDI S4 Avant,4.2,(8 cyl),Auto-S6,4WD,Gasoline,CA,station wagon,6,14,21,16,4,no
82,AUDI S4 Cabriolet,4.2,(8 cyl),Man-6,4WD,Gasoline,FA,small car,6,13,19,15,3,no
83,AUDI S4 Cabriolet,4.2,(8 cyl),Auto-S6,4WD,Gasoline,FA,small car,6,14,21,16,4,no
84,AUDI S4 Cabriolet,4.2,(8 cyl),Man-6,4WD,Gasoline,CA,small car,6,13,19,15,3,no
85,AUDI S4 Cabriolet,4.2,(8 cyl),Auto-S6,4WD,Gasoline,CA,small car,6,14,21,16,4,no
86,AUDI S5,4.2,(8 cyl),Man-6,4WD,Gasoline,FA,small car,6,14,21,16,4,no
87,AUDI S5,4.2,(8 cyl),Man-6,4WD,Gasoline,CA,small car,6,14,21,16,4,no
88,AUDI S6,5.2,(10 cyl),Auto-S6,4WD,Gasoline,FA,midsize car,6,14,19,16,4,no
89,AUDI S6,5.2,(10 cyl),Auto-S6,4WD,Gasoline,CA,midsize car,6,14,19,16,4,no
90,AUDI S8,5.2,(10 cyl),Auto-S6,4WD,Gasoline,FA,midsize car,6,13,19,15,3,no
91,AUDI S8,5.2,(10 cyl),Auto-S6,4WD,Gasoline,CA,midsize car,6,13,19,15,3,no
92,AUDI TT Coupe,2.0,(4 cyl),Auto-S6,2WD,Gasoline,CA,small car,7,23,31,26,8,yes
93,AUDI TT Coupe,2.0,(4 cyl),Auto-S6,2WD,Gasoline,FA,small car,6,23,31,26,8,yes
94,AUDI TT Coupe,3.2,(6 cyl),Man-6,4WD,Gasoline,FA,small car,6,17,24,19,5,no
95,AUDI TT Coupe,3.2,(6 cyl),Auto-S6,4WD,Gasoline,FA,small car,6,18,24,20,6,no
96,AUDI TT Coupe,3.2,(6 cyl),Man-6,4WD,Gasoline,CA,small car,6,17,24,19,5,no
97,AUDI TT Coupe,3.2,(6 cyl),Auto-S6,4WD,Gasoline,CA,small car,6,18,24,20,6,no
98,AUDI TT Roadster,2.0,(4 cyl),Auto-S6,2WD,Gasoline,CA,small car,7,22,29,25,7,yes
99,AUDI TT Roadster,2.0,(4 cyl),Auto-S6,2WD,Gasoline,FA,small car,6,22,29,25,7,yes
100,AUDI TT Roadster,3.2,(6 cyl),Man-6,4WD,Gasoline,FA,small car,6,17,24,19,5,no
101,AUDI TT Roadster,3.2,(6 cyl),Auto-S6,4WD,Gasoline,FA,small car,6,18,24,20,6,no
102,AUDI TT Roadster,3.2,(6 cyl),Man-6,4WD,Gasoline,CA,small car,6,17,24,19,5,no
103,AUDI TT Roadster,3.2,(6 cyl),Auto-S6,4WD,Gasoline,CA,small car,6,18,24,20,6,no
104,BENTLEY Arnage,6.7,(8 cyl),Auto-S6,2WD,Gasoline,FA,large car,6,9,15,11,0,no
105,BENTLEY Arnage,6.7,(8 cyl),Auto-S6,2WD,Gasoline,FA,midsize car,6,10,15,11,0,no
106,BENTLEY Arnage,6.7,(8 cyl),Auto-S6,2WD,Gasoline,CA,large car,6,9,15,11,0,no
107,BENTLEY Arnage,6.7,(8 cyl),Auto-S6,2WD,Gasoline,CA,midsize car,6,10,15,11,0,no
108,BENTLEY Azure,6.7,(8 cyl),Auto-S6,2WD,Gasoline,FA,small car,6,9,15,11,0,no
109,BENTLEY Azure,6.7,(8 cyl),Auto-S6,2WD,Gasoline,CA,small car,6,9,15,11,0,no
110,BENTLEY Continental Flying Spur,6.0,(12 cyl),Auto-S6,4WD,Gasoline,FA,midsize car,6,10,17,12,0,no
111,BENTLEY Continental Flying Spur,6.0,(12 cyl),Auto-S6,4WD,Gasoline,CA,midsize car,6,10,17,12,0,no
112,BENTLEY Continental GT,6.0,(12 cyl),Auto-S6,4WD,Gasoline,FA,small car,6,10,17,13,1,no
113,BENTLEY Continental GT,6.0,(12 cyl),Auto-S6,4WD,Gasoline,CA,small car,6,10,17,13,1,no
