,model,displ,cyl,trans,drive,fuel,cert_region,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
48,AUDI A6,3.0,6.0,SemiAuto-8,4WD,Gasoline,FA,midsize car,3,20,29,23,5,No
49,AUDI A6,3.0,6.0,SemiAuto-8,4WD,Gasoline,CA,midsize car,3,20,29,23,5,No
50,AUDI A7,3.0,6.0,SemiAuto-8,4WD,Gasoline,FA,midsize car,3,20,29,23,5,No
51,AUDI A7,3.0,6.0,SemiAuto-8,4WD,Gasoline,CA,midsize car,3,20,29,23,5,No
52,AUDI A8 L,3.0,6.0,SemiAuto-8,4WD,Gasoline,FA,large car,3,19,29,22,4,No
53,AUDI A8 L,3.0,6.0,SemiAuto-8,4WD,Gasoline,CA,large car,3,19,29,22,4,No
54,AUDI Q3,2.0,4.0,SemiAuto-6,2WD,Gasoline,FA,small car,3,20,28,23,5,No
55,AUDI Q3,2.0,4.0,SemiAuto-6,2WD,Gasoline,CA,small car,3,20,28,23,5,No
56,AUDI Q3,2.0,4.0,SemiAuto-6,4WD,Gasoline,FA,small car,3,20,28,23,5,No
57,AUDI Q3,2.0,4.0,SemiAuto-6,4WD,Gasoline,CA,small car,3,20,28,23,5,No
58,AUDI Q5,2.0,4.0,SemiAuto-7,4WD,Gasoline,CA,small SUV,3,23,27,25,5,No
59,AUDI Q5,2.0,4.0,SemiAuto-7,4WD,Gasoline,FA,small SUV,3,23,27,25,5,No
60,AUDI Q7,2.0,4.0,SemiAuto-8,4WD,Gasoline,CA,standard SUV,3,19,25,21,4,No
61,AUDI Q7,2.0,4.0,SemiAuto-8,4WD,Gasoline,FA,standard SUV,3,19,25,21,4,No
62,AUDI Q7,3.0,6.0,SemiAuto-8,4WD,Gasoline,FA,standard SUV,3,19,25,21,4,No
63,AUDI Q7,3.0,6.0,SemiAuto-8,4WD,Gasoline,CA,standard SUV,3,19,25,21,4,No
64,AUDI RS3,2.5,5.0,AMS-7,4WD,Gasoline,CA,small car,3,19,28,22,4,No
65,AUDI RS3,2.5,5.0,AMS-7,4WD,Gasoline,FA,small car,3,19,28,22,4,No
66,AUDI S3,2.0,4.0,AMS-7,4WD,Gasoline,FA,small car,3,22,28,25,5,No
67,AUDI S3,2.0,4.0,AMS-7,4WD,Gasoline,CA,small car,3,22,28,25,5,No
68,AUDI S4,3.0,6.0,AMS-8,4WD,Gasoline,CA,small car,5,21,30,24,5,No
69,AUDI S4,3.0,6.0,AMS-8,4WD,Gasoline,FA,small car,5,21,30,24,5,No
70,AUDI S5,3.0,6.0,AMS-8,4WD,Gasoline,CA,small car,5,21,30,24,5,No
71,AUDI S5,3.0,6.0,AMS-8,4WD,Gasoline,FA,small car,5,21,30,24,5,No
