Unnamed: 0,model,displ,cyl,trans,drive,fuel,cert_region,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
107,BMW 320i,2.0,4,SemiAuto-8,4WD,Gasoline,CA,small car,3,23.0,34.0,27.0,6,No
110,BMW 330i,2.0,4,Man-6,2WD,Gasoline,CA,small car,7,21.0,32.0,25.0,5,No
112,BMW 330i,2.0,4,SemiAuto-8,2WD,Gasoline,CA,small car,7,24.0,34.0,27.0,6,No
114,BMW 330i,2.0,4,SemiAuto-8,4WD,Gasoline,CA,small car,7,23.0,33.0,27.0,6,No
116,BMW 330i Gran Turismo,2.0,4,SemiAuto-8,4WD,Gasoline,CA,large car,7,23.0,33.0,27.0,6,No
118,BMW 330i Sports Wagon,2.0,4,SemiAuto-8,4WD,Gasoline,CA,station wagon,7,23.0,33.0,27.0,6,No
120,BMW 340i,3.0,6,Man-6,2WD,Gasoline,CA,small car,3,19.0,29.0,23.0,5,No
122,BMW 340i,3.0,6,Man-6,4WD,Gasoline,CA,small car,3,19.0,29.0,23.0,5,No
124,BMW 340i,3.0,6,SemiAuto-8,2WD,Gasoline,CA,small car,3,21.0,32.0,25.0,5,No
126,BMW 340i,3.0,6,SemiAuto-8,4WD,Gasoline,CA,small car,3,21.0,31.0,25.0,5,No
128,BMW 340i Gran Turismo,3.0,6,SemiAuto-8,4WD,Gasoline,CA,large car,3,20.0,29.0,23.0,5,No
130,BMW 430i Convertible,2.0,4,SemiAuto-8,2WD,Gasoline,CA,small car,7,24.0,34.0,27.0,6,No
132,BMW 430i Convertible,2.0,4,SemiAuto-8,4WD,Gasoline,CA,small car,7,22.0,32.0,26.0,5,No
134,BMW 430i Coupe,2.0,4,Man-6,2WD,Gasoline,CA,small car,7,21.0,33.0,25.0,5,No
136,BMW 430i Coupe,2.0,4,SemiAuto-8,2WD,Gasoline,CA,small car,7,24.0,34.0,27.0,6,No
138,BMW 430i Coupe,2.0,4,SemiAuto-8,4WD,Gasoline,CA,small car,7,23.0,33.0,27.0,6,No
140,BMW 430i Gran Coupe,2.0,4,SemiAuto-8,2WD,Gasoline,CA,small car,7,24.0,34.0,27.0,6,No
142,BMW 430i Gran Coupe,2.0,4,SemiAuto-8,4WD,Gasoline,CA,small car,7,23.0,33.0,27.0,6,No
144,BMW 440i Convertible,3.0,6,SemiAuto-8,2WD,Gasoline,CA,small car,3,21.0,29.0,24.0,5,No
146,BMW 440i Convertible,3.0,6,SemiAuto-8,4WD,Gasoline,CA,small car,3,20.0,29.0,23.0,5,No
148,BMW 440i Coupe,3.0,6,Man-6,2WD,Gasoline,CA,small car,3,19.0,29.0,23.0,5,No
150,BMW 440i Coupe,3.0,6,Man-6,4WD,Gasoline,CA,small car,3,19.0,29.0,23.0,5,No
152,BMW 440i Coupe,3.0,6,SemiAuto-8,2WD,Gasoline,CA,small car,3,21.0,32.0,25.0,5,No
154,BMW 440i Coupe,3.0,6,SemiAuto-8,4WD,Gasoline,CA,small car,3,21.0,31.0,25.0,5,No
156,BMW 440i Gran Coupe,3.0,6,SemiAuto-8,2WD,Gasoline,CA,small car,3,21.0,32.0,25.0,5,No
158,BMW 440i Gran Coupe,3.0,6,SemiAuto-8,4WD,Gasoline,CA,small car,3,21.0,31.0,25.0,5,No
164,BMW 530i,2.0,4,SemiAuto-8,2WD,Gasoline,CA,midsize car,7,24.0,34.0,27.0,6,No
166,BMW 530i,2.0,4,SemiAuto-8,4WD,Gasoline,CA,midsize car,7,23.0,33.0,27.0,6,No
168,BMW 540i,3.0,6,SemiAuto-8,2WD,Gasoline,CA,midsize car,5,21.0,30.0,24.0,5,No
170,BMW 540i,3.0,6,SemiAuto-8,4WD,Gasoline,CA,midsize car,5,20.0,29.0,23.0,5,No
172,BMW 640i Convertible,3.0,6,SemiAuto-8,2WD,Gasoline,CA,small car,3,20.0,29.0,23.0,5,No
174,BMW 640i Convertible,3.0,6,SemiAuto-8,4WD,Gasoline,CA,small car,3,19.0,28.0,22.0,4,No
176,BMW 640i Gran Coupe,3.0,6,SemiAuto-8,2WD,Gasoline,CA,small car,3,20.0,29.0,23.0,5,No
178,BMW 640i Gran Coupe,3.0,6,SemiAuto-8,4WD,Gasoline,CA,small car,3,19.0,28.0,22.0,4,No
180,BMW 650i Convertible,4.4,8,SemiAuto-8,2WD,Gasoline,CA,small car,3,17.0,25.0,20.0,4,No
182,BMW 650i Convertible,4.4,8,SemiAuto-8,4WD,Gasoline,CA,small car,3,16.0,25.0,19.0,3,No
184,BMW 650i Gran Coupe,4.4,8,SemiAuto-8,2WD,Gasoline,CA,small car,3,17.0,25.0,20.0,4,No
186,BMW 650i Gran Coupe,4.4,8,SemiAuto-8,4WD,Gasoline,CA,small car,3,16.0,25.0,19.0,3,No
190,BMW 740i,3.0,6,SemiAuto-8,2WD,Gasoline,CA,large car,3,21.0,29.0,24.0,5,No
192,BMW 740i,3.0,6,SemiAuto-8,4WD,Gasoline,CA,large car,3,20.0,29.0,23.0,5,No
194,BMW 750i,4.4,8,SemiAuto-8,2WD,Gasoline,CA,large car,3,17.0,25.0,20.0,4,No
196,BMW 750i,4.4,8,SemiAuto-8,4WD,Gasoline,CA,large car,3,16.0,25.0,19.0,3,No
198,BMW Alpina B6 Gran Coupe,4.4,8,SemiAuto-8,4WD,Gasoline,CA,small car,3,16.0,25.0,19.0,3,No
200,BMW Alpina B7,4.4,8,SemiAuto-8,4WD,Gasoline,CA,large car,3,16.0,25.0,19.0,3,No
202,BMW M2,3.0,6,AMS-7,2WD,Gasoline,CA,small car,3,20.0,26.0,22.0,4,No
204,BMW M2,3.0,6,Man-6,2WD,Gasoline,CA,small car,3,18.0,26.0,21.0,4,No
206,BMW M240i Convertible,3.0,6,Man-6,2WD,Gasoline,CA,small car,3,18.0,27.0,22.0,4,No
208,BMW M240i Convertible,3.0,6,SemiAuto-8,2WD,Gasoline,CA,small car,3,21.0,30.0,24.0,5,No
210,BMW M240i Convertible,3.0,6,SemiAuto-8,4WD,Gasoline,CA,small car,3,21.0,30.0,24.0,5,No
212,BMW M240i Coupe,3.0,6,Man-6,2WD,Gasoline,CA,small car,3,19.0,28.0,22.0,4,No
214,BMW M240i Coupe,3.0,6,SemiAuto-8,2WD,Gasoline,CA,small car,3,21.0,30.0,24.0,5,No
216,BMW M240i Coupe,3.0,6,SemiAuto-8,4WD,Gasoline,CA,small car,3,21.0,30.0,24.0,5,No
218,BMW M3,3.0,6,AMS-7,2WD,Gasoline,CA,small car,3,17.0,24.0,20.0,4,No
220,BMW M3,3.0,6,Man-6,2WD,Gasoline,CA,small car,3,17.0,25.0,20.0,4,No
222,BMW M4 Convertible,3.0,6,AMS-7,2WD,Gasoline,CA,small car,3,16.0,22.0,19.0,3,No
224,BMW M4 Convertible,3.0,6,Man-6,2WD,Gasoline,CA,small car,3,17.0,25.0,20.0,4,No
226,BMW M4 Coupe,3.0,6,AMS-7,2WD,Gasoline,CA,small car,3,17.0,24.0,20.0,4,No
228,BMW M4 Coupe,3.0,6,Man-6,2WD,Gasoline,CA,small car,3,17.0,25.0,20.0,4,No
230,BMW M4 DTM Champions Edition,3.0,6,AMS-7,2WD,Gasoline,CA,small car,3,17.0,24.0,20.0,4,No
232,BMW M550i,4.4,8,SemiAuto-8,4WD,Gasoline,CA,midsize car,3,16.0,25.0,19.0,3,No
234,BMW M6 Convertible,4.4,8,AMS-7,2WD,Gasoline,CA,small car,1,14.0,20.0,16.0,2,No
236,BMW M6 Convertible,4.4,8,Man-6,2WD,Gasoline,CA,small car,1,15.0,22.0,17.0,3,No
238,BMW M6 Gran Coupe,4.4,8,AMS-7,2WD,Gasoline,CA,small car,1,14.0,20.0,16.0,2,No
240,BMW M6 Gran Coupe,4.4,8,Man-6,2WD,Gasoline,CA,small car,1,15.0,22.0,17.0,3,No
242,BMW M760i xDrive,6.6,12,SemiAuto-8,4WD,Gasoline,CA,large car,3,13.0,20.0,16.0,2,No
244,BMW X1 sDrive28i,2.0,4,SemiAuto-8,2WD,Gasoline,CA,large car,7,23.0,32.0,26.0,5,No
246,BMW X1 xDrive28i,2.0,4,SemiAuto-8,4WD,Gasoline,CA,large car,7,22.0,31.0,25.0,5,No
249,BMW X4 M40i,3.0,6,SemiAuto-8,4WD,Gasoline,CA,small SUV,3,18.0,25.0,21.0,4,No
251,BMW X4 xDrive28i,2.0,4,SemiAuto-8,4WD,Gasoline,CA,small SUV,3,20.0,28.0,23.0,5,No
252,BUICK Encore,1.4,4,SemiAuto-6,2WD,Gasoline,CA,small SUV,3,27.0,33.0,30.0,7,Yes
254,BUICK Encore,1.4,4,SemiAuto-6,4WD,Gasoline,CA,small SUV,3,26.0,31.0,28.0,6,No
